# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
495.9000 M9 186 1 230.9000 p36 c44 296 N p36->c44
652.8000 M1 134 4 620.8000 c42 c46 289 N c42->p39->c54->p13->c46
711.4000 M2 173 4 653.4000 p13 p28 289 N p13->c54->c56->c59->p28
817.3000 M21 101 1 208.3000 p0 p9 296 N p0->p9
1036.5000 M4 157 4 924.5000 c43 c46 284 N c43->c56->c42->c41->c46
1261.4000 M26 179 1 504.4000 c49 c56 291 N c49->c56
1354.2000 M16 116 1 890.2000 p10 p9 285 N p10->p9
1441.0000 M13 107 7 1062.0000 p23 c57 282 N p23->p28->p31->c53->p36->c48->c43->c57
1625.8000 M15 197 4 1194.8000 p25 c44 280 N p25->c46->c54->c42->c44
1686.2000 M8 177 5 1453.2000 p6 p27 275 N p6->c48->p25->c41->c56->p27
1749.3000 M41 158 3 533.3000 p12 p13 291 N p12->c41->c56->p13
1791.7000 M22 150 3 1151.7000 p33 c57 280 N p33->p13->c56->c57
1893.8000 M47 176 2 482.8000 c56 p26 291 N c56->c52->p26
1902.4000 M12 186 1 1557.4000 p39 p19 274 N p39->p19
1957.9000 M54 164 1 340.9000 c55 p9 294 N c55->p9
1980.5000 M24 129 5 1282.5000 c58 t60 278 N c58->c40->c42->c48->c53->t60
2038.6000 M55 171 5 392.6000 c40 c44 293 N c40->c56->c48->p14->c42->c44
2048.3000 M45 181 4 703.3000 p6 p29 288 N p6->p36->c59->c50->p29
2061.5000 M57 179 2 354.5000 p9 c54 294 N p9->c56->c54
2197.0000 M42 125 4 948.0000 p18 c42 284 N p18->t61->c53->c46->c42
2197.3000 M53 185 2 611.3000 c53 c43 289 N c53->c46->c43
2256.9000 M74 115 1 40.9000 c41 c50 299 N c41->c50
2339.8000 M61 131 4 511.8000 c45 c42 291 N c45->c57->c51->c52->c42
2340.0000 M64 124 2 423.0000 c43 c52 292 N c43->c42->c52
2365.8000 M5 171 2 2221.8000 t60 p17 262 N t60->p11->p17
2520.7000 M14 134 3 2115.7000 p18 p1 264 N p18->t61->c53->p1
2542.5000 M52 119 4 982.5000 p23 p27 283 N p23->t61->c53->c52->p27
2617.2000 M49 187 4 1152.2000 p26 p17 280 N p26->c50->c43->c57->p17
2681.7000 M48 163 5 1244.7000 p23 p5 279 N p23->t61->c53->c41->c50->p5
2763.7000 M76 137 2 491.7000 p13 c53 291 N p13->c50->c53
2906.7000 M70 184 2 813.7000 c41 p27 286 N c41->c47->p27
2942.5000 M58 110 5 1203.5000 p25 p9 279 N p25->c43->p36->c41->c49->p9
2999.2000 M85 186 3 464.2000 c52 c50 292 N c52->p27->c42->c50
3032.1000 M69 109 3 971.1000 c43 p23 283 N c43->c53->p1->p23
3078.3000 M81 167 1 656.3000 p30 p12 289 N p30->p12
3192.0000 M59 177 2 1423.0000 p17 c46 276 N p17->c57->c46
3228.8000 M43 111 4 1947.8000 p36 p22 267 N p36->c40->p6->t61->p22
3240.0000 M20 143 3 2658.0000 p17 p27 255 N p17->c57->c55->p27
3276.0000 M94 164 5 454.0000 c54 c59 292 N c54->c45->c47->c40->c56->c59
3302.8000 M17 117 2 2804.8000 p17 c49 253 N p17->c57->c49
3309.5000 M109 100 2 46.5000 p23 c48 299 N p23->c50->c48
3325.1000 M90 125 3 632.1000 c50 c47 289 N c50->c53->c46->c47
3358.6000 M46 151 2 1980.6000 p31 p4 266 N p31->p3->p4
3361.6000 M63 182 2 1471.6000 p13 p19 275 N p13->c56->p19
3370.5000 M36 161 3 2310.5000 p11 c58 261 N p11->p17->c56->c58
3381.4000 M10 141 2 3090.4000 p16 c44 248 N p16->c56->c44
3480.3000 M33 161 2 2504.3000 p16 p9 258 N p16->c56->p9
3519.7000 M79 110 1 1155.7000 t61 p30 280 N t61->p30
3682.1000 M88 195 4 1053.1000 c52 p16 282 N c52->c59->c46->c49->p16
3682.4000 M104 182 3 566.4000 c53 p16 290 N c53->c45->c49->p16
3731.3000 M92 189 3 973.3000 p23 c56 283 N p23->c50->p13->c56
